Block Height,Timestamp,Address,Algorithm,Difficulty
3413330,2025-07-29 03:50:15,Unknown,Stake,91694685.07767169
3413331,2025-07-29 03:50:20,Unknown,Stake,89873156.04925627
3413332,2025-07-29 03:50:08,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,21.30047877628286
3413333,2025-07-29 03:50:25,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,20.60765520265614
3413334,2025-07-29 03:50:51,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02912693851809283
3413335,2025-07-29 03:51:08,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,22.0415949550023
3413336,2025-07-29 03:54:34,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,22.44658604232978
3413337,2025-07-29 03:58:14,Unknown,Stake,91728392.37097457
3413338,2025-07-29 03:59:28,Unknown,Stake,91781453.82728094
3413339,2025-07-29 03:59:36,Unknown,Stake,91834726.52044229
3413340,2025-07-29 03:59:22,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,21.89391922577008
3413341,2025-07-29 04:01:16,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,21.53034300791557
3413342,2025-07-29 04:01:02,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,22.08584498930393
3413343,2025-07-29 04:01:43,Unknown,Stake,94045916.47630882
3413344,2025-07-29 04:01:29,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.02532965070707352
3413345,2025-07-29 04:02:18,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.06614994285173
3413346,2025-07-29 04:03:00,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,14.19840234798482
3413347,2025-07-29 04:04:19,Unknown,Stake,91905853.05135052
3413348,2025-07-29 04:07:48,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,15.08887681719904
3413349,2025-07-29 04:12:24,Unknown,Stake,91958459.11338238
3413350,2025-07-29 04:12:53,Unknown,Stake,92010944.96530353
3413351,2025-07-29 04:14:03,Unknown,Stake,93341451.98163486
3413352,2025-07-29 04:13:49,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,21.08344297956245
3413353,2025-07-29 04:14:51,Unknown,Stake,94175998.55973002
3413354,2025-07-29 04:15:38,Unknown,Stake,93787202.40898612
3413355,2025-07-29 04:15:30,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02481413536738438
3413356,2025-07-29 04:15:34,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.05185095610387
3413357,2025-07-29 04:16:17,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.07526687886272
3413358,2025-07-29 04:18:05,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,22.09951854364392
3413359,2025-07-29 04:18:38,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.08910183235837
3413360,2025-07-29 04:20:56,Unknown,Stake,92238140.67318244
3413361,2025-07-29 04:21:50,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.07346612266808
3413362,2025-07-29 04:22:16,Unknown,Stake,92255191.57265435
3413363,2025-07-29 04:24:23,Unknown,Stake,94456925.7539421
3413364,2025-07-29 04:27:35,Unknown,Stake,92289887.23504797
3413365,2025-07-29 04:30:28,Unknown,Stake,92342661.32150699
3413366,2025-07-29 04:30:54,Unknown,Stake,91432776.34524454
3413367,2025-07-29 04:31:26,Unknown,Stake,92402502.49524562
3413368,2025-07-29 04:31:55,Unknown,Stake,92400561.1393864
3413369,2025-07-29 04:31:55,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,19.99508970817135
3413370,2025-07-29 04:36:25,Unknown,Stake,92452459.78502153
3413371,2025-07-29 04:36:11,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.02437295474146668
3413372,2025-07-29 04:36:19,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02412204018683677
3413373,2025-07-29 04:40:25,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,19.79383778618074
3413374,2025-07-29 04:44:54,Unknown,Stake,90068600.62122129
3413375,2025-07-29 04:45:56,Unknown,Stake,88217901.08641867
3413376,2025-07-29 04:45:41,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,20.08940086095927
3413377,2025-07-29 04:48:07,Unknown,Stake,92428293.86634494
3413378,2025-07-29 04:51:32,Unknown,Stake,88068324.90470578
3413379,2025-07-29 04:52:00,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,20.69510147741444
3413380,2025-07-29 04:52:50,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,14.71793553639401
3413381,2025-07-29 04:56:11,Unknown,Stake,87124095.19812968
3413382,2025-07-29 04:56:07,Unknown,Stake,85854227.74492508
3413383,2025-07-29 04:56:04,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,20.24948311010207
3413384,2025-07-29 04:56:33,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,20.48593931253434
3413385,2025-07-29 04:57:39,Unknown,Stake,92347690.5729467
3413386,2025-07-29 04:57:25,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,21.89246217385347
3413387,2025-07-29 04:57:17,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02457062794854097
3413388,2025-07-29 04:58:05,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,21.90661234722657
3413389,2025-07-29 05:00:39,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,15.21744572700507
3413390,2025-07-29 05:01:24,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02851485200210941
3413391,2025-07-29 05:08:43,Unknown,Stake,87054062.56772831
3413392,2025-07-29 05:08:42,Unknown,Stake,83939990.44605556
3413393,2025-07-29 05:08:34,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,20.26229817062787
3413394,2025-07-29 05:11:53,Unknown,Stake,92362478.53320326
3413395,2025-07-29 05:12:06,Unknown,Stake,83899257.27066812
3413396,2025-07-29 05:11:52,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,20.14892247384249
3413397,2025-07-29 05:15:07,Unknown,Stake,92302689.1716389
3413398,2025-07-29 05:15:00,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,20.08709176483547
3413399,2025-07-29 05:15:41,Unknown,Stake,84330630.20068885
3413400,2025-07-29 05:15:27,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,21.81489090578108
3413401,2025-07-29 05:16:21,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,21.8259875186849
3413402,2025-07-29 05:17:37,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,21.81911820743883
3413403,2025-07-29 05:17:46,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,21.8293385865089
3413404,2025-07-29 05:17:53,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.0247404489635513
3413405,2025-07-29 05:18:14,Unknown,Stake,84892399.13517152
3413406,2025-07-29 05:18:31,Unknown,Stake,85538838.90382184
3413407,2025-07-29 05:18:17,VCTUK5Rmf5d16gbrwdHEkGqR47AjrA9uGu,SHA256D,15.22495820999004
3413408,2025-07-29 05:21:20,Unknown,Stake,92063400.42833075
3413409,2025-07-29 05:23:19,Unknown,Stake,85329208.53034157
3413410,2025-07-29 05:23:05,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,15.227846412321
